,State_Name,Crop_Year,Season,Crop,Area,Production
19866,Assam,2012,Winter     ,Rice,72092.0,165955.0
176319,Rajasthan,2005,Kharif     ,Rice,4.0,6.0
235535,Uttarakhand,2007,Kharif     ,Potato,423.0,5004.0
167876,Rajasthan,2005,Whole Year ,Sugarcane,3251.0,178372.0
207613,Uttar Pradesh,2012,Rabi       ,Potato,342.0,8329.0
90341,Karnataka,2009,Whole Year ,Sugarcane,965.0,72423.0
164038,Punjab,2011,Whole Year ,Sugarcane,3.0,224000.0
185979,Tamil Nadu,2011,Whole Year ,Onion,60.0,641.0
150104,Odisha,2001,Rabi       ,Wheat,253.0,320.3
60888,Gujarat,2001,Whole Year ,Potato,100.0,2700.0
199599,Uttar Pradesh,2011,Rabi       ,Onion,393.0,8990.0
142483,Mizoram,2006,Whole Year ,Sugarcane,5.0,5.0
92857,Karnataka,2009,Kharif     ,Potato,80.0,495.0
71774,Himachal Pradesh,2002,Kharif     ,Rice,2806.0,4996.0
90777,Karnataka,2004,Whole Year ,Coconut ,1331.0,64234.06
7551,Andhra Pradesh,2011,Whole Year ,Sugarcane,7862.0,548950.0
22241,Assam,2005,Summer     ,Rice,18588.0,35101.0
15330,Assam,2012,Whole Year ,Potato,5280.0,34040.0
176917,Rajasthan,2009,Whole Year ,Onion,3.0,43.0
115715,Madhya Pradesh,2005,Whole Year ,Sugarcane,17476.0,854000.0
73389,Himachal Pradesh,2002,Whole Year ,Onion,125.0,473.0
15122,Assam,2006,Whole Year ,Coconut ,178.0,420000.0
212590,Uttar Pradesh,2009,Kharif     ,Rice,116741.0,256363.0
206935,Uttar Pradesh,2002,Whole Year ,Sugarcane,943.0,36407.0
54792,Chhattisgarh,2003,Whole Year ,Sugarcane,111.0,307.0
102,Andaman and Nicobar Islands,2006,Whole Year ,Cashewnut,40.5,44.0
153834,Odisha,2007,Autumn     ,Rice,14000.0,14000.0
242331,West Bengal,2003,Winter     ,Rice,180586.0,300284.0
165897,Rajasthan,2003,Whole Year ,Onion,32.0,128.0
241701,West Bengal,2013,Rabi       ,Wheat,83.0,189.0
197869,Tripura,2012,Kharif     ,Rice,41350.0,118814.0
160139,Odisha,2004,Winter     ,Rice,126000.0,160000.0
84025,Karnataka,2008,Kharif     ,Onion,3575.0,20812.0
196176,Telangana ,2011,Kharif     ,Onion,385.0,4328.0
214247,Uttar Pradesh,2013,Kharif     ,Rice,149084.0,375095.0
138697,Manipur,2007,Whole Year ,Potato,560.0,2930.0
70622,Haryana,2002,Whole Year ,Onion,2.0,0.0
178938,Tamil Nadu,2001,Kharif     ,Rice,54334.0,189510.0
222029,Uttar Pradesh,2011,Rabi       ,Potato,12319.0,375742.0
218198,Uttar Pradesh,2012,Kharif     ,Sugarcane,1787.0,109252.0
241242,West Bengal,2012,Summer     ,Rice,49554.0,136650.0
56963,Goa,2004,Whole Year ,Sugarcane,295.0,17103.0
36156,Bihar,2011,Rabi       ,Wheat,38673.0,127666.0
45633,Bihar,2005,Winter     ,Rice,48545.0,46887.0
2728,Andhra Pradesh,2002,Rabi       ,Rice,2716.0,7385.0
234506,Uttarakhand,2008,Rabi       ,Potato,472.0,5217.0
11947,Arunachal Pradesh,2004,Kharif     ,Rice,4555.0,5296.0
89740,Karnataka,2014,Whole Year ,Coconut ,61019.0,382629.0
191150,Tamil Nadu,2011,Whole Year ,Coconut ,9844.0,127900000.0
38666,Bihar,2010,Whole Year ,Sugarcane,673.0,33772.0
215164,Uttar Pradesh,2013,Kharif     ,Sugarcane,1609.0,64614.0
31848,Bihar,2011,Rabi       ,Wheat,65902.0,183403.0
236795,West Bengal,2008,Winter     ,Rice,157226.0,406213.0
58840,Gujarat,2009,Rabi       ,Wheat,18400.0,28700.0
187884,Tamil Nadu,2007,Whole Year ,Coconut ,6374.0,908.0
20365,Assam,2010,Summer     ,Rice,35022.0,96010.0
75894,Jharkhand,2010,Rabi       ,Wheat,227.0,146.0
166816,Rajasthan,2010,Whole Year ,Sugarcane,49.0,3284.0
227934,Uttar Pradesh,2007,Summer     ,Rice,6077.0,14652.0
133969,Maharashtra,2012,Rabi       ,Wheat,13600.0,21400.0
26850,Assam,2010,Whole Year ,Onion,241.0,603.0
155756,Odisha,2013,Winter     ,Potato,880.0,8297.5
31851,Bihar,2011,Summer     ,Rice,13.0,19.0
234916,Uttarakhand,2010,Kharif     ,Potato,440.0,2734.0
23163,Assam,2014,Winter     ,Rice,102605.0,224011.0
103750,Madhya Pradesh,2001,Whole Year ,Onion,627.0,5275.0
223149,Uttar Pradesh,2003,Whole Year ,Potato,2155.0,45072.0
128737,Maharashtra,2013,Kharif     ,Rice,7700.0,9700.0
72192,Himachal Pradesh,2001,Whole Year ,Potato,1566.0,12182.0
158412,Odisha,2013,Winter     ,Potato,259.0,4259.8
81560,Karnataka,2012,Whole Year ,Sugarcane,31522.0,2186051.0
172365,Rajasthan,2005,Whole Year ,Potato,3.0,3.0
90082,Karnataka,2004,Whole Year ,Coconut ,1147.0,55319.81
216832,Uttar Pradesh,2007,Kharif     ,Sugarcane,2592.0,131265.0
47870,Chhattisgarh,2011,Whole Year ,Onion,249.0,1468.0
83301,Karnataka,2009,Whole Year ,Sugarcane,41.0,3934.0
239165,West Bengal,2014,Winter     ,Rice,315561.0,1029374.0
12991,Assam,2005,Whole Year ,Onion,586.0,879.0
127162,Maharashtra,2007,Whole Year ,Sugarcane,740.0,64979.0
215381,Uttar Pradesh,2003,Whole Year ,Potato,10607.0,176119.0
138366,Manipur,2003,Whole Year ,Onion,10.0,20.0
59730,Gujarat,2012,Rabi       ,Wheat,48700.0,151300.0
142454,Mizoram,2004,Kharif     ,Rice,5566.0,11610.0
195971,Telangana ,2005,Whole Year ,Cashewnut,4.0,1.0
200488,Uttar Pradesh,2007,Kharif     ,Rice,21178.0,46761.0
117571,Madhya Pradesh,2004,Whole Year ,Sugarcane,93.0,2620.0
140360,Meghalaya,2003,Whole Year ,Potato,25.0,148.0
53211,Chhattisgarh,2001,Rabi       ,Wheat,2313.0,3580.0
239382,West Bengal,2003,Whole Year ,Sugarcane,3.0,223.0
5101,Andhra Pradesh,2006,Kharif     ,Onion,11174.0,203065.0
233747,Uttarakhand,2010,Rabi       ,Rice,16.0,38.0
233903,Uttarakhand,2001,Rabi       ,Rice,54.0,138.0
195575,Telangana ,2014,Kharif     ,Sugarcane,5429.0,473572.0
31550,Bihar,2002,Whole Year ,Onion,456.0,2134.0
222440,Uttar Pradesh,2010,Rabi       ,Potato,1092.0,32505.0
245791,West Bengal,2006,Summer     ,Rice,1336.0,3319.0
115231,Madhya Pradesh,2003,Rabi       ,Wheat,71942.0,210376.0
215425,Uttar Pradesh,2005,Whole Year ,Onion,946.0,12213.0
244505,West Bengal,2003,Whole Year ,Coconut ,4225.0,30381.9
236686,West Bengal,2004,Winter     ,Rice,157096.0,368303.0
183985,Tamil Nadu,2003,Whole Year ,Coconut ,5199.0,42100.0
242282,West Bengal,2002,Rabi       ,Wheat,19612.0,38961.0
225085,Uttar Pradesh,2007,Rabi       ,Onion,71.0,992.0
33616,Bihar,2008,Rabi       ,Wheat,58520.0,125813.0
111332,Madhya Pradesh,2003,Whole Year ,Potato,13202.0,212025.0
84541,Karnataka,2001,Whole Year ,Coconut ,39311.0,172562.0
24616,Assam,2005,Winter     ,Rice,57959.0,79926.0
65790,Haryana,2006,Whole Year ,Potato,2690.0,72600.0
206110,Uttar Pradesh,2007,Rabi       ,Wheat,293775.0,837259.0
13429,Assam,2001,Autumn     ,Rice,33306.0,30266.0
244412,West Bengal,2001,Autumn     ,Rice,48521.0,97682.0
18776,Assam,2012,Whole Year ,Onion,96.0,332.0
204386,Uttar Pradesh,2013,Rabi       ,Wheat,166533.0,590693.0
31223,Bihar,2008,Whole Year ,Sugarcane,94.0,3327.0
32953,Bihar,2001,Autumn     ,Rice,84038.0,163470.0
159369,Odisha,2012,Summer     ,Wheat,39.0,108.7
21688,Assam,2005,Whole Year ,Onion,45.0,139.0
237178,West Bengal,2006,Summer     ,Rice,76956.0,229965.0
201977,Uttar Pradesh,2013,Rabi       ,Onion,27.0,549.0
140185,Meghalaya,2014,Summer     ,Potato,8224.0,96303.0
106462,Madhya Pradesh,2001,Whole Year ,Onion,736.0,15895.0
154217,Odisha,2007,Summer     ,Wheat,5.0,7.3
153942,Odisha,2012,Winter     ,Rice,35000.0,62000.0
75960,Jharkhand,2010,Rabi       ,Wheat,6258.0,5563.0
235944,Uttarakhand,2007,Whole Year ,Onion,20.0,160.0
137443,Maharashtra,2013,Rabi       ,Wheat,30900.0,50200.0
77068,Karnataka,2002,Whole Year ,Tomato,114.0,639.0
141749,Meghalaya,2004,Whole Year ,Potato,5638.0,38788.0
200578,Uttar Pradesh,2011,Rabi       ,Potato,3160.0,60852.0
196807,Telangana ,2013,Kharif     ,Rice,159311.0,501478.0
65873,Haryana,2010,Whole Year ,Potato,1662.0,33400.0
159738,Odisha,2008,Winter     ,Potato,12.0,113.4
156951,Odisha,2004,Summer     ,Wheat,42.0,57.1
221573,Uttar Pradesh,2011,Rabi       ,Onion,375.0,8578.0
212876,Uttar Pradesh,2001,Summer     ,Rice,208.0,351.0
145662,Nagaland,2003,Kharif     ,Rice,24040.0,33270.0
160454,Puducherry,2003,Kharif     ,Rice,5937.0,12725.0
147460,Odisha,2001,Rabi       ,Wheat,257.0,355.2
236653,West Bengal,2003,Summer     ,Rice,83792.0,265326.0
164847,Rajasthan,2010,Whole Year ,Sugarcane,18.0,1206.0
194896,Telangana ,2013,Kharif     ,Rice,192185.0,546190.0
235431,Uttarakhand,2002,Rabi       ,Wheat,26962.0,35700.0
78680,Karnataka,2003,Rabi       ,Wheat,51451.0,32005.0
180125,Tamil Nadu,2002,Whole Year ,Coconut ,17377.0,161700.0
141288,Meghalaya,2004,Whole Year ,Sugarcane,45.0,139.0
143109,Nagaland,2007,Kharif     ,Potato,260.0,5050.0
173828,Rajasthan,2005,Rabi       ,Wheat,71316.0,163469.0
130003,Maharashtra,2010,Rabi       ,Wheat,66000.0,164600.0
154102,Odisha,2001,Whole Year ,Potato,582.0,7798.8
230973,Uttar Pradesh,2010,Kharif     ,Rice,81000.0,138186.0
7876,Andhra Pradesh,2001,Whole Year ,Potato,173.0,1117.0
99897,Kerala,2001,Winter     ,Rice,7225.0,17601.0
183527,Tamil Nadu,2003,Whole Year ,Onion,6027.0,53208.0
10625,Arunachal Pradesh,2002,Whole Year ,Sugarcane,25.0,330.0
73643,Himachal Pradesh,2002,Whole Year ,Onion,34.0,350.0
239508,West Bengal,2007,Whole Year ,Coconut ,1250.0,10750000.0
19346,Assam,2013,Summer     ,Rice,2035.0,3596.0
95158,Karnataka,2001,Whole Year ,Onion,20.0,86.0
237549,West Bengal,2001,Whole Year ,Sugarcane,12.0,1184.0
199426,Uttar Pradesh,2005,Rabi       ,Wheat,230058.0,454785.0
241518,West Bengal,2005,Summer     ,Rice,107679.0,289463.0
206135,Uttar Pradesh,2008,Rabi       ,Onion,107.0,1254.0
206166,Uttar Pradesh,2009,Rabi       ,Potato,15108.0,367638.0
194792,Telangana ,2008,Rabi       ,Rice,168094.0,547650.0
99762,Kerala,2011,Whole Year ,Cashewnut,3352.45,914.46
133871,Maharashtra,2008,Rabi       ,Wheat,34500.0,56100.0
17887,Assam,2003,Whole Year ,Potato,875.0,7610.0
76209,Jharkhand,2006,Whole Year ,Sugarcane,72.36,3240.0
99014,Kerala,2003,Whole Year ,Cashewnut,27817.0,25482.0
195438,Telangana ,2009,Rabi       ,Rice,45538.0,143080.0
153842,Odisha,2007,Winter     ,Potato,594.0,3871.1
185115,Tamil Nadu,2011,Whole Year ,Cashewnut,21.0,6.0
69637,Haryana,2012,Rabi       ,Wheat,16823.0,59000.0
37413,Bihar,2002,Autumn     ,Rice,37639.0,42214.0
243514,West Bengal,2007,Summer     ,Rice,157072.0,525727.0
131893,Maharashtra,2001,Kharif     ,Rice,23900.0,24400.0
18415,Assam,2002,Autumn     ,Rice,5016.0,7114.0
56984,Goa,2007,Whole Year ,Sugarcane,224.0,14261.0
192269,Telangana ,2008,Rabi       ,Onion,802.0,18085.0
75542,Jammu and Kashmir ,2005,Kharif     ,Rice,13319.0,15120.0
21872,Assam,2011,Whole Year ,Sugarcane,291.0,10148.0
152804,Odisha,2002,Whole Year ,Onion,650.0,4930.0
65,Andaman and Nicobar Islands,2010,Autumn     ,Sugarcane,13.4,41.75
24516,Assam,2002,Whole Year ,Potato,3790.0,27459.0
139526,Meghalaya,2013,Winter     ,Rice,3154.0,5414.0
93328,Karnataka,2001,Whole Year ,Potato,50.0,448.0
52280,Chhattisgarh,2005,Kharif     ,Rice,109622.0,129060.0
197403,Tripura,2006,Rabi       ,Wheat,180.0,317.0
242360,West Bengal,2004,Whole Year ,Potato,24786.0,577173.0
38486,Bihar,2004,Rabi       ,Wheat,43423.0,40440.0
90030,Karnataka,2003,Whole Year ,Coconut ,1229.0,5868.0
163669,Punjab,2013,Rabi       ,Wheat,75000.0,371000.0
164568,Rajasthan,2001,Rabi       ,Wheat,41551.0,75770.0
233027,Uttarakhand,2014,Rabi       ,Potato,140.0,1803.0
99492,Kerala,2013,Autumn     ,Rice,2091.0,5093.0
201300,Uttar Pradesh,2004,Kharif     ,Rice,212127.0,187398.0
231717,Uttarakhand,2006,Kharif     ,Rice,23031.0,28882.0
148369,Odisha,2002,Whole Year ,Onion,520.0,4330.0
26510,Assam,2010,Whole Year ,Sugarcane,179.0,6480.0
38201,Bihar,2012,Rabi       ,Wheat,84550.0,233793.0
106567,Madhya Pradesh,2004,Kharif     ,Rice,22682.0,15223.0
161468,Punjab,2007,Rabi       ,Wheat,112000.0,535000.0
218248,Uttar Pradesh,2013,Rabi       ,Wheat,66491.0,161600.0
100573,Kerala,2006,Winter     ,Rice,8732.0,17094.0
76076,Jharkhand,2007,Rabi       ,Wheat,4393.16,6937.0
132761,Maharashtra,2001,Whole Year ,Sugarcane,23600.0,1846900.0
11351,Arunachal Pradesh,2009,Whole Year ,Potato,220.0,2112.0
163285,Punjab,2003,Whole Year ,Sugarcane,1000.0,60000.0
128351,Maharashtra,2014,Summer     ,Rice,4000.0,6800.0
211577,Uttar Pradesh,2005,Rabi       ,Potato,6309.0,117524.0
33128,Bihar,2006,Rabi       ,Wheat,32803.0,72142.0
201942,Uttar Pradesh,2011,Summer     ,Onion,71.0,769.0
104124,Madhya Pradesh,2012,Whole Year ,Sugarcane,1577.0,76560.0
75796,Jharkhand,2002,Winter     ,Rice,75492.94,108055.6
76365,Jharkhand,2005,Rabi       ,Wheat,2352.68,2242.1
10360,Arunachal Pradesh,2006,Whole Year ,Potato,90.0,522.0
49249,Chhattisgarh,2005,Kharif     ,Rice,453535.0,746241.0
24111,Assam,2008,Summer     ,Rice,40344.0,84363.0
237242,West Bengal,2009,Autumn     ,Rice,3375.0,7686.0
10608,Arunachal Pradesh,2014,Kharif     ,Rice,16120.0,27463.0
226003,Uttar Pradesh,2003,Whole Year ,Sugarcane,21101.0,1204023.0
101594,Kerala,2011,Autumn     ,Rice,1204.98,3137.87
82894,Karnataka,2009,Kharif     ,Potato,21.0,130.0
106069,Madhya Pradesh,2005,Whole Year ,Onion,888.0,7121.0
223745,Uttar Pradesh,2008,Kharif     ,Rice,136178.0,302043.0
64548,Gujarat,2004,Whole Year ,Sugarcane,500.0,35000.0
14645,Assam,2010,Autumn     ,Rice,15372.0,15765.0
85440,Karnataka,2009,Whole Year ,Coconut ,16096.0,114445.0
18106,Assam,2010,Rabi       ,Wheat,2200.0,2902.0
117766,Madhya Pradesh,2012,Whole Year ,Sugarcane,14.0,460.0
226981,Uttar Pradesh,2004,Whole Year ,Onion,86.0,1040.0
161654,Punjab,2008,Kharif     ,Rice,97000.0,427000.0
87965,Karnataka,2013,Whole Year ,Coconut ,286.0,2269.0
105521,Madhya Pradesh,2003,Whole Year ,Sugarcane,2609.0,147670.0
135162,Maharashtra,2004,Kharif     ,Rice,17700.0,44200.0
163646,Punjab,2009,Rabi       ,Wheat,74000.0,316000.0
138993,Manipur,2002,Kharif     ,Rice,13270.0,24370.0
91808,Karnataka,2001,Whole Year ,Coconut ,1098.0,5236.0
82804,Karnataka,2007,Rabi       ,Onion,594.0,4268.0
83709,Karnataka,2001,Summer     ,Rice,3067.0,8904.0
4668,Andhra Pradesh,2014,Kharif     ,Tomato,439.0,6312.0
93055,Karnataka,2013,Rabi       ,Onion,62.0,436.0
138917,Manipur,2004,Whole Year ,Onion,210.0,450.0
225984,Uttar Pradesh,2003,Kharif     ,Rice,137198.0,290515.0
170114,Rajasthan,2003,Whole Year ,Sugarcane,2125.0,143424.0
27333,Bihar,2005,Winter     ,Rice,82557.0,43894.0
231548,Uttar Pradesh,2013,Rabi       ,Wheat,69399.0,188955.0
55000,Chhattisgarh,2008,Whole Year ,Onion,358.0,1615.0
152547,Odisha,2009,Autumn     ,Rice,20000.0,26000.0
145615,Nagaland,2001,Kharif     ,Rice,17610.0,22760.0
22212,Assam,2004,Summer     ,Rice,8110.0,15955.0
68978,Haryana,2004,Whole Year ,Onion,3.0,100.0
156858,Odisha,2001,Whole Year ,Onion,680.0,6440.0
236284,Uttarakhand,2006,Whole Year ,Onion,55.0,330.0
117085,Madhya Pradesh,2004,Whole Year ,Sugarcane,161.0,2630.0
207516,Uttar Pradesh,2009,Kharif     ,Rice,7026.0,3864.0
47284,Chhattisgarh,2010,Whole Year ,Sugarcane,1.0,2.0
53475,Chhattisgarh,2008,Whole Year ,Sugarcane,19.0,50.0
237904,West Bengal,2011,Rabi       ,Potato,29499.0,900622.0
90554,Karnataka,2013,Whole Year ,Coconut ,1395.0,11068.0
99765,Kerala,2011,Whole Year ,Potato,8.0,88.0
227160,Uttar Pradesh,2011,Rabi       ,Wheat,91629.0,266457.0
148064,Odisha,2006,Summer     ,Wheat,267.0,298.5
223902,Uttar Pradesh,2013,Summer     ,Rice,713.0,1556.0
26663,Assam,2005,Autumn     ,Rice,21750.0,14532.0
168250,Rajasthan,2003,Whole Year ,Sugarcane,786.0,44811.0
92570,Karnataka,2002,Whole Year ,Potato,150.0,2010.0
94643,Karnataka,2014,Rabi       ,Wheat,656.0,589.0
10574,Arunachal Pradesh,2010,Whole Year ,Potato,742.0,6105.0
226757,Uttar Pradesh,2013,Rabi       ,Onion,74.0,1505.0
99361,Kerala,2005,Whole Year ,Coconut ,58088.0,426000000.0
58686,Gujarat,2003,Kharif     ,Rice,13300.0,21900.0
81053,Karnataka,2001,Whole Year ,Onion,568.0,6961.0
208095,Uttar Pradesh,2013,Kharif     ,Sugarcane,9768.0,552673.0
115021,Madhya Pradesh,2011,Rabi       ,Wheat,88019.0,366951.0
90306,Karnataka,2009,Kharif     ,Rice,43936.0,47582.69
140535,Meghalaya,2013,Winter     ,Rice,9269.0,29001.0
206269,Uttar Pradesh,2012,Summer     ,Rice,20.0,46.0
105635,Madhya Pradesh,2007,Whole Year ,Sugarcane,2582.0,144340.0
34705,Bihar,2009,Autumn     ,Rice,9400.0,6779.0
25826,Assam,2007,Whole Year ,Coconut ,1328.0,11417000.0
106445,Madhya Pradesh,2001,Kharif     ,Rice,25426.0,11317.0
233523,Uttarakhand,2001,Kharif     ,Rice,21616.0,45520.0
117109,Madhya Pradesh,2005,Whole Year ,Onion,542.0,7227.0
183239,Tamil Nadu,2011,Kharif     ,Rice,8129.0,35747.0
81542,Karnataka,2012,Rabi       ,Potato,92.0,1562.0
43579,Bihar,2009,Whole Year ,Sugarcane,3192.0,162904.0
176620,Rajasthan,2001,Kharif     ,Rice,6272.0,7038.0
28556,Bihar,2005,Whole Year ,Onion,18.0,157.0
199388,Uttar Pradesh,2003,Whole Year ,Sugarcane,868.0,38124.0
70813,Haryana,2011,Whole Year ,Onion,4.0,100.0
170916,Rajasthan,2004,Whole Year ,Potato,6.0,13.0
185177,Tamil Nadu,2013,Whole Year ,Coconut ,14457.0,61800000.0
158,Andaman and Nicobar Islands,2004,Whole Year ,Sugarcane,145.26,1560.0
989,Andhra Pradesh,2014,Whole Year ,Coconut ,687.0,5756000.0
221794,Uttar Pradesh,2001,Whole Year ,Potato,5965.0,202894.0
216904,Uttar Pradesh,2009,Rabi       ,Potato,3316.0,83641.0
199004,Uttar Pradesh,2007,Rabi       ,Onion,39.0,545.0
185,Andaman and Nicobar Islands,2010,Autumn     ,Rice,1595.5,3788.0
178562,Tamil Nadu,2004,Kharif     ,Rice,114599.0,315702.0
226192,Uttar Pradesh,2011,Kharif     ,Sugarcane,23487.0,1366474.0
240692,West Bengal,2013,Winter     ,Rice,157471.0,442904.0
82268,Karnataka,2012,Summer     ,Onion,1566.0,9047.0
202357,Uttar Pradesh,2009,Kharif     ,Sugarcane,22208.0,1047596.0
74313,Jammu and Kashmir ,2003,Kharif     ,Rice,4050.0,7455.0
147060,Odisha,2005,Autumn     ,Rice,25000.0,26000.0
170285,Rajasthan,2009,Whole Year ,Sugarcane,2338.0,160645.0
186001,Tamil Nadu,2013,Kharif     ,Onion,23.0,267.0
90789,Karnataka,2005,Kharif     ,Potato,135.0,452.0
79717,Karnataka,2005,Rabi       ,Rice,490.0,1871.0
80773,Karnataka,2012,Summer     ,Onion,14.0,79.0
76651,Jharkhand,2007,Autumn     ,Rice,48459.12,40932.0
236033,Uttarakhand,2011,Rabi       ,Wheat,98128.0,404453.0
234968,Uttarakhand,2012,Kharif     ,Rice,20204.0,26027.0
174432,Rajasthan,2010,Kharif     ,Rice,1324.0,2681.0
36691,Bihar,2009,Winter     ,Rice,141813.0,234669.0
240306,West Bengal,2014,Summer     ,Potato,2445.0,29340.0
225749,Uttar Pradesh,2012,Rabi       ,Potato,3995.0,69729.0
154149,Odisha,2003,Whole Year ,Onion,1240.0,10920.0
101457,Kerala,2002,Whole Year ,Cashewnut,2349.0,1097.0
96473,Karnataka,2010,Rabi       ,Rice,461.0,1421.0
21202,Assam,2007,Whole Year ,Coconut ,385.0,2713000.0
82711,Karnataka,2005,Rabi       ,Rice,503.0,1202.0
102875,Madhya Pradesh,2005,Whole Year ,Onion,104.0,1513.0
116711,Madhya Pradesh,2008,Whole Year ,Potato,667.0,3429.0
7182,Andhra Pradesh,2002,Kharif     ,Rice,153148.0,267550.0
169397,Rajasthan,2006,Kharif     ,Rice,536.0,845.0
149770,Odisha,2006,Winter     ,Potato,1158.0,14255.0
100343,Kerala,2012,Autumn     ,Rice,143.0,204.0
209849,Uttar Pradesh,2008,Rabi       ,Wheat,71375.0,245276.0
149296,Odisha,2006,Winter     ,Sugarcane,33.0,1675.9
69164,Haryana,2007,Whole Year ,Sugarcane,849.0,60000.0
210333,Uttar Pradesh,2007,Rabi       ,Wheat,151705.0,390680.0
111252,Madhya Pradesh,2001,Whole Year ,Onion,744.0,9072.0
54707,Chhattisgarh,2001,Whole Year ,Potato,173.0,1391.0
227393,Uttar Pradesh,2004,Kharif     ,Rice,26519.0,16851.0
162537,Punjab,2012,Whole Year ,Sugarcane,19000.0,1321000.0
17814,Assam,2001,Whole Year ,Coconut ,601.0,7955000.0
144742,Nagaland,2008,Kharif     ,Potato,320.0,3960.0
31144,Bihar,2005,Winter     ,Rice,55678.0,55900.0
220990,Uttar Pradesh,2006,Rabi       ,Potato,170.0,3712.0
163469,Punjab,2006,Kharif     ,Rice,68000.0,272000.0
113492,Madhya Pradesh,2010,Kharif     ,Rice,6929.0,9188.0
57925,Gujarat,2005,Kharif     ,Rice,82300.0,178500.0
48756,Chhattisgarh,2007,Kharif     ,Rice,175006.0,346087.0
129430,Maharashtra,2003,Rabi       ,Wheat,39000.0,60900.0
10054,Arunachal Pradesh,2008,Kharif     ,Rice,16763.0,35010.0
82924,Karnataka,2009,Whole Year ,Cashewnut,56.0,42.0
2335,Andhra Pradesh,2010,Whole Year ,Cashewnut,34581.0,6120.0
242285,West Bengal,2002,Summer     ,Rice,20946.0,38388.0
96714,Karnataka,2014,Whole Year ,Coconut ,149419.0,1283692.0
110005,Madhya Pradesh,2008,Whole Year ,Onion,52.0,490.0
54182,Chhattisgarh,2003,Kharif     ,Rice,242593.0,322350.0
106108,Madhya Pradesh,2006,Whole Year ,Sugarcane,192.0,3530.0
92617,Karnataka,2003,Whole Year ,Onion,243.0,2103.0
100905,Kerala,2006,Summer     ,Rice,6090.0,17605.0
17499,Assam,2009,Whole Year ,Coconut ,91.0,199000.0
196922,Tripura,2003,Rabi       ,Wheat,260.0,545.0
78589,Karnataka,2001,Whole Year ,Potato,5228.0,63008.0
218081,Uttar Pradesh,2008,Rabi       ,Onion,975.0,11429.0
201551,Uttar Pradesh,2012,Kharif     ,Sugarcane,19099.0,1109652.0
14402,Assam,2012,Whole Year ,Potato,2009.0,9072.0
44523,Bihar,2006,Autumn     ,Rice,32799.0,34184.0
154601,Odisha,2004,Winter     ,Potato,189.0,1478.5
110461,Madhya Pradesh,2008,Whole Year ,Potato,20.0,219.0
42069,Bihar,2001,Whole Year ,Sugarcane,2455.0,87575.0
27603,Bihar,2003,Winter     ,Rice,31836.0,54058.0
106755,Madhya Pradesh,2009,Whole Year ,Sugarcane,4673.0,308720.0
8122,Andhra Pradesh,2006,Whole Year ,Coconut ,6924.0,80139794.0
236268,Uttarakhand,2006,Kharif     ,Potato,2680.0,30541.0
10339,Arunachal Pradesh,2004,Kharif     ,Rice,8515.0,6651.0
11186,Arunachal Pradesh,2010,Whole Year ,Sugarcane,90.0,2709.0
8186,Andhra Pradesh,2008,Rabi       ,Rice,2679.0,5090.0
7658,Andhra Pradesh,2014,Kharif     ,Cashewnut,22111.0,8623.0
95440,Karnataka,2007,Summer     ,Rice,15004.0,44260.0
208022,Uttar Pradesh,2010,Rabi       ,Wheat,148681.0,440839.0
98799,Kerala,2009,Summer     ,Rice,209.0,521.0
30161,Bihar,2004,Whole Year ,Onion,387.0,2825.0
233786,Uttarakhand,2012,Rabi       ,Potato,249.0,4446.0
83289,Karnataka,2009,Rabi       ,Rice,93.0,209.0
239937,West Bengal,2003,Whole Year ,Coconut ,149.0,2468.9
225092,Uttar Pradesh,2007,Summer     ,Onion,201.0,2714.0
94370,Karnataka,2007,Rabi       ,Wheat,3155.0,1908.0
150358,Odisha,2011,Winter     ,Sugarcane,21.0,1098.7
25864,Assam,2008,Whole Year ,Potato,8464.0,63066.0
75518,Jammu and Kashmir ,2003,Whole Year ,Onion,7.0,6.0
127436,Maharashtra,2002,Kharif     ,Rice,168600.0,190500.0
106597,Madhya Pradesh,2005,Kharif     ,Rice,21568.0,16485.0
235654,Uttarakhand,2012,Kharif     ,Rice,11108.0,16012.0
163624,Punjab,2005,Whole Year ,Sugarcane,7000.0,380000.0
14440,Assam,2013,Whole Year ,Potato,2046.0,8094.0
190508,Tamil Nadu,2005,Whole Year ,Onion,305.0,2445.0
189515,Tamil Nadu,2006,Kharif     ,Rice,21376.0,94000.0
127919,Maharashtra,2009,Kharif     ,Sugarcane,1400.0,97400.0
79765,Karnataka,2006,Rabi       ,Rice,2993.0,14299.0
142906,Mizoram,2009,Kharif     ,Rice,5887.0,4589.0
94849,Karnataka,2012,Kharif     ,Onion,10.0,53.0
151040,Odisha,2001,Kharif     ,Rice,41000.0,81000.0
76363,Jharkhand,2005,Rabi       ,Potato,434.64,2904.26
81985,Karnataka,2005,Whole Year ,Coconut ,178.0,850.0
180650,Tamil Nadu,2002,Whole Year ,Sugarcane,5371.0,422030.0
170252,Rajasthan,2008,Whole Year ,Onion,29.0,580.0
45961,Chandigarh,2007,Kharif     ,Rice,50.0,250.0
75078,Jammu and Kashmir ,2005,Kharif     ,Potato,100.0,265.0
181630,Tamil Nadu,2013,Whole Year ,Coconut ,6641.0,29100000.0
174222,Rajasthan,2005,Whole Year ,Onion,184.0,165.0
54833,Chhattisgarh,2004,Whole Year ,Sugarcane,114.0,287.0
